Sym-H and AL  obtained from Kyoto WDC for SWPC Event 1.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2003 10 30 03 40 00 000 -295.00  -442.00
2003 10 30 03 41 00 000 -295.00  -415.00
2003 10 30 03 42 00 000 -293.00  -382.00
2003 10 30 03 43 00 000 -293.00  -408.00
2003 10 30 03 44 00 000 -295.00  -433.00
2003 10 30 03 45 00 000 -294.00  -414.00
2003 10 30 03 46 00 000 -297.00  -433.00
2003 10 30 03 47 00 000 -302.00  -498.00
2003 10 30 03 48 00 000 -302.00  -423.00
2003 10 30 03 49 00 000 -300.00  -305.00
2003 10 30 03 50 00 000 -300.00  -293.00
2003 10 30 03 51 00 000 -299.00  -220.00
2003 10 30 03 52 00 000 -297.00  -202.00
2003 10 30 03 53 00 000 -295.00  -170.00
2003 10 30 03 54 00 000 -294.00  -199.00
2003 10 30 03 55 00 000 -292.00  -227.00
2003 10 30 03 56 00 000 -292.00  -238.00
2003 10 30 03 57 00 000 -292.00  -262.00
2003 10 30 03 58 00 000 -291.00  -246.00
2003 10 30 03 59 00 000 -290.00  -227.00
2003 10 30 04 00 00 000 -289.00  -191.00
2003 10 30 04 01 00 000 -287.00  -161.00
2003 10 30 04 02 00 000 -286.00  -159.00
2003 10 30 04 03 00 000 -284.00  -184.00
2003 10 30 04 04 00 000 -283.00  -204.00
2003 10 30 04 05 00 000 -282.00  -216.00
2003 10 30 04 06 00 000 -281.00  -207.00
2003 10 30 04 07 00 000 -280.00  -226.00
2003 10 30 04 08 00 000 -281.00  -224.00
2003 10 30 04 09 00 000 -286.00  -227.00
2003 10 30 04 10 00 000 -289.00  -210.00
2003 10 30 04 11 00 000 -290.00  -182.00
2003 10 30 04 12 00 000 -288.00  -146.00
2003 10 30 04 13 00 000 -286.00  -165.00
2003 10 30 04 14 00 000 -285.00  -158.00
2003 10 30 04 15 00 000 -284.00  -165.00
2003 10 30 04 16 00 000 -283.00  -167.00
2003 10 30 04 17 00 000 -281.00  -153.00
2003 10 30 04 18 00 000 -280.00  -116.00
2003 10 30 04 19 00 000 -279.00   -94.00
2003 10 30 04 20 00 000 -280.00   -96.00
2003 10 30 04 21 00 000 -278.00   -92.00
2003 10 30 04 22 00 000 -276.00   -90.00
2003 10 30 04 23 00 000 -275.00   -87.00
2003 10 30 04 24 00 000 -274.00   -76.00
2003 10 30 04 25 00 000 -273.00  -100.00
2003 10 30 04 26 00 000 -272.00  -138.00
2003 10 30 04 27 00 000 -271.00  -144.00
2003 10 30 04 28 00 000 -270.00  -140.00
2003 10 30 04 29 00 000 -270.00  -150.00
2003 10 30 04 30 00 000 -270.00  -162.00
2003 10 30 04 31 00 000 -270.00  -171.00
2003 10 30 04 32 00 000 -268.00  -176.00
2003 10 30 04 33 00 000 -266.00  -181.00
2003 10 30 04 34 00 000 -264.00  -191.00
2003 10 30 04 35 00 000 -262.00  -193.00
2003 10 30 04 36 00 000 -260.00  -198.00
2003 10 30 04 37 00 000 -258.00  -202.00
2003 10 30 04 38 00 000 -257.00  -208.00
2003 10 30 04 39 00 000 -257.00  -220.00
2003 10 30 04 40 00 000 -257.00  -209.00
2003 10 30 04 41 00 000 -257.00  -184.00
2003 10 30 04 42 00 000 -257.00  -159.00
2003 10 30 04 43 00 000 -256.00  -145.00
2003 10 30 04 44 00 000 -256.00  -143.00
2003 10 30 04 45 00 000 -255.00  -143.00
2003 10 30 04 46 00 000 -252.00  -129.00
2003 10 30 04 47 00 000 -249.00  -129.00
2003 10 30 04 48 00 000 -248.00  -128.00
2003 10 30 04 49 00 000 -249.00  -147.00
2003 10 30 04 50 00 000 -251.00  -125.00
2003 10 30 04 51 00 000 -251.00  -121.00
2003 10 30 04 52 00 000 -250.00  -106.00
2003 10 30 04 53 00 000 -247.00   -90.00
2003 10 30 04 54 00 000 -244.00   -77.00
2003 10 30 04 55 00 000 -241.00  -102.00
2003 10 30 04 56 00 000 -240.00  -108.00
2003 10 30 04 57 00 000 -242.00  -105.00
2003 10 30 04 58 00 000 -243.00  -121.00
2003 10 30 04 59 00 000 -243.00  -132.00
2003 10 30 05 00 00 000 -244.00  -117.00
2003 10 30 05 01 00 000 -244.00  -117.00
2003 10 30 05 02 00 000 -243.00  -123.00
2003 10 30 05 03 00 000 -243.00  -132.00
2003 10 30 05 04 00 000 -242.00  -140.00
2003 10 30 05 05 00 000 -241.00  -137.00
2003 10 30 05 06 00 000 -240.00  -134.00
2003 10 30 05 07 00 000 -240.00  -140.00
2003 10 30 05 08 00 000 -241.00  -154.00
2003 10 30 05 09 00 000 -242.00  -173.00
2003 10 30 05 10 00 000 -244.00  -192.00
2003 10 30 05 11 00 000 -246.00  -215.00
2003 10 30 05 12 00 000 -246.00  -213.00
2003 10 30 05 13 00 000 -246.00  -208.00
2003 10 30 05 14 00 000 -245.00  -203.00
2003 10 30 05 15 00 000 -247.00  -197.00
2003 10 30 05 16 00 000 -247.00  -180.00
2003 10 30 05 17 00 000 -246.00  -162.00
2003 10 30 05 18 00 000 -245.00  -149.00
2003 10 30 05 19 00 000 -244.00  -142.00
2003 10 30 05 20 00 000 -244.00  -150.00
2003 10 30 05 21 00 000 -243.00  -152.00
2003 10 30 05 22 00 000 -242.00  -147.00
2003 10 30 05 23 00 000 -241.00  -138.00
2003 10 30 05 24 00 000 -241.00  -124.00
2003 10 30 05 25 00 000 -244.00  -112.00
2003 10 30 05 26 00 000 -245.00  -104.00
2003 10 30 05 27 00 000 -245.00   -88.00
2003 10 30 05 28 00 000 -244.00   -74.00
2003 10 30 05 29 00 000 -241.00   -73.00
2003 10 30 05 30 00 000 -240.00   -77.00
2003 10 30 05 31 00 000 -240.00   -87.00
2003 10 30 05 32 00 000 -241.00  -101.00
2003 10 30 05 33 00 000 -243.00  -119.00
2003 10 30 05 34 00 000 -246.00  -117.00
2003 10 30 05 35 00 000 -248.00  -101.00
2003 10 30 05 36 00 000 -245.00   -99.00
2003 10 30 05 37 00 000 -240.00   -91.00
2003 10 30 05 38 00 000 -235.00   -62.00
2003 10 30 05 39 00 000 -232.00   -72.00
2003 10 30 05 40 00 000 -234.00  -123.00
2003 10 30 05 41 00 000 -237.00  -148.00
2003 10 30 05 42 00 000 -239.00  -147.00
2003 10 30 05 43 00 000 -239.00  -133.00
2003 10 30 05 44 00 000 -237.00  -110.00
2003 10 30 05 45 00 000 -236.00  -113.00
2003 10 30 05 46 00 000 -236.00  -133.00
2003 10 30 05 47 00 000 -237.00  -139.00
2003 10 30 05 48 00 000 -237.00  -145.00
2003 10 30 05 49 00 000 -238.00  -144.00
2003 10 30 05 50 00 000 -238.00  -139.00
2003 10 30 05 51 00 000 -239.00  -125.00
2003 10 30 05 52 00 000 -239.00  -115.00
2003 10 30 05 53 00 000 -238.00  -123.00
2003 10 30 05 54 00 000 -238.00  -121.00
2003 10 30 05 55 00 000 -238.00   -94.00
2003 10 30 05 56 00 000 -238.00   -90.00
2003 10 30 05 57 00 000 -237.00   -94.00
2003 10 30 05 58 00 000 -236.00   -87.00
2003 10 30 05 59 00 000 -236.00   -87.00
2003 10 30 06 00 00 000 -234.00  -106.00
2003 10 30 06 01 00 000 -233.00  -145.00
2003 10 30 06 02 00 000 -232.00  -131.00
2003 10 30 06 03 00 000 -231.00  -110.00
2003 10 30 06 04 00 000 -231.00  -117.00
2003 10 30 06 05 00 000 -230.00  -111.00
2003 10 30 06 06 00 000 -228.00  -124.00
2003 10 30 06 07 00 000 -226.00  -141.00
2003 10 30 06 08 00 000 -225.00  -155.00
2003 10 30 06 09 00 000 -225.00  -166.00
2003 10 30 06 10 00 000 -225.00  -161.00
2003 10 30 06 11 00 000 -226.00  -169.00
2003 10 30 06 12 00 000 -226.00  -163.00
2003 10 30 06 13 00 000 -225.00  -153.00
2003 10 30 06 14 00 000 -223.00  -146.00
2003 10 30 06 15 00 000 -222.00  -148.00
2003 10 30 06 16 00 000 -222.00  -138.00
2003 10 30 06 17 00 000 -221.00  -138.00
2003 10 30 06 18 00 000 -221.00  -170.00
2003 10 30 06 19 00 000 -220.00  -185.00
2003 10 30 06 20 00 000 -221.00  -200.00
2003 10 30 06 21 00 000 -220.00  -198.00
2003 10 30 06 22 00 000 -220.00  -202.00
2003 10 30 06 23 00 000 -219.00  -197.00
2003 10 30 06 24 00 000 -219.00  -189.00
2003 10 30 06 25 00 000 -219.00  -183.00
2003 10 30 06 26 00 000 -218.00  -190.00
2003 10 30 06 27 00 000 -218.00  -199.00
2003 10 30 06 28 00 000 -218.00  -214.00
2003 10 30 06 29 00 000 -218.00  -204.00
2003 10 30 06 30 00 000 -216.00  -210.00
2003 10 30 06 31 00 000 -216.00  -216.00
2003 10 30 06 32 00 000 -214.00  -196.00
2003 10 30 06 33 00 000 -213.00  -165.00
2003 10 30 06 34 00 000 -212.00  -141.00
2003 10 30 06 35 00 000 -212.00  -136.00
2003 10 30 06 36 00 000 -213.00  -124.00
2003 10 30 06 37 00 000 -214.00  -113.00
2003 10 30 06 38 00 000 -214.00   -98.00
2003 10 30 06 39 00 000 -213.00   -87.00
2003 10 30 06 40 00 000 -213.00   -95.00
2003 10 30 06 41 00 000 -213.00   -97.00
2003 10 30 06 42 00 000 -213.00   -94.00
2003 10 30 06 43 00 000 -213.00  -111.00
2003 10 30 06 44 00 000 -214.00  -117.00
2003 10 30 06 45 00 000 -215.00  -126.00
2003 10 30 06 46 00 000 -214.00  -112.00
2003 10 30 06 47 00 000 -212.00   -89.00
2003 10 30 06 48 00 000 -212.00   -86.00
2003 10 30 06 49 00 000 -213.00   -84.00
2003 10 30 06 50 00 000 -213.00   -81.00
2003 10 30 06 51 00 000 -213.00   -75.00
2003 10 30 06 52 00 000 -211.00   -68.00
2003 10 30 06 53 00 000 -210.00  -103.00
2003 10 30 06 54 00 000 -209.00   -70.00
2003 10 30 06 55 00 000 -210.00   -74.00
2003 10 30 06 56 00 000 -210.00   -81.00
2003 10 30 06 57 00 000 -209.00   -95.00
2003 10 30 06 58 00 000 -210.00  -122.00
2003 10 30 06 59 00 000 -210.00  -110.00
2003 10 30 07 00 00 000 -211.00  -104.00
2003 10 30 07 01 00 000 -214.00  -106.00
2003 10 30 07 02 00 000 -214.00  -141.00
2003 10 30 07 03 00 000 -214.00  -103.00
2003 10 30 07 04 00 000 -213.00   -93.00
2003 10 30 07 05 00 000 -213.00  -101.00
2003 10 30 07 06 00 000 -212.00  -121.00
2003 10 30 07 07 00 000 -212.00   -97.00
2003 10 30 07 08 00 000 -214.00   -91.00
2003 10 30 07 09 00 000 -213.00   -86.00
2003 10 30 07 10 00 000 -212.00   -84.00
2003 10 30 07 11 00 000 -212.00   -97.00
2003 10 30 07 12 00 000 -212.00  -112.00
2003 10 30 07 13 00 000 -211.00  -130.00
2003 10 30 07 14 00 000 -210.00  -140.00
2003 10 30 07 15 00 000 -209.00  -154.00
2003 10 30 07 16 00 000 -208.00  -163.00
2003 10 30 07 17 00 000 -206.00  -191.00
2003 10 30 07 18 00 000 -205.00  -222.00
2003 10 30 07 19 00 000 -204.00  -262.00
2003 10 30 07 20 00 000 -204.00  -258.00
2003 10 30 07 21 00 000 -205.00  -231.00
2003 10 30 07 22 00 000 -206.00  -242.00
2003 10 30 07 23 00 000 -207.00  -232.00
2003 10 30 07 24 00 000 -206.00  -225.00
2003 10 30 07 25 00 000 -206.00  -232.00
2003 10 30 07 26 00 000 -207.00  -243.00
2003 10 30 07 27 00 000 -206.00  -243.00
2003 10 30 07 28 00 000 -206.00  -236.00
2003 10 30 07 29 00 000 -205.00  -229.00
2003 10 30 07 30 00 000 -204.00  -220.00
2003 10 30 07 31 00 000 -202.00  -210.00
2003 10 30 07 32 00 000 -202.00  -206.00
2003 10 30 07 33 00 000 -202.00  -202.00
2003 10 30 07 34 00 000 -201.00  -188.00
2003 10 30 07 35 00 000 -199.00  -162.00
2003 10 30 07 36 00 000 -198.00  -137.00
2003 10 30 07 37 00 000 -197.00  -128.00
2003 10 30 07 38 00 000 -197.00  -126.00
2003 10 30 07 39 00 000 -197.00  -128.00
2003 10 30 07 40 00 000 -197.00  -116.00
2003 10 30 07 41 00 000 -197.00  -105.00
2003 10 30 07 42 00 000 -196.00   -96.00
2003 10 30 07 43 00 000 -195.00   -99.00
2003 10 30 07 44 00 000 -196.00  -104.00
2003 10 30 07 45 00 000 -196.00  -109.00
2003 10 30 07 46 00 000 -195.00  -109.00
2003 10 30 07 47 00 000 -194.00  -108.00
2003 10 30 07 48 00 000 -194.00  -105.00
2003 10 30 07 49 00 000 -196.00  -110.00
2003 10 30 07 50 00 000 -196.00  -116.00
2003 10 30 07 51 00 000 -196.00  -116.00
2003 10 30 07 52 00 000 -195.00  -118.00
2003 10 30 07 53 00 000 -195.00  -122.00
2003 10 30 07 54 00 000 -195.00  -127.00
2003 10 30 07 55 00 000 -195.00  -120.00
2003 10 30 07 56 00 000 -192.00  -106.00
2003 10 30 07 57 00 000 -192.00   -99.00
2003 10 30 07 58 00 000 -192.00  -101.00
2003 10 30 07 59 00 000 -193.00  -103.00
2003 10 30 08 00 00 000 -198.00  -107.00
2003 10 30 08 01 00 000 -200.00   -88.00
2003 10 30 08 02 00 000 -205.00   -99.00
2003 10 30 08 03 00 000 -208.00  -160.00
2003 10 30 08 04 00 000 -209.00  -144.00
2003 10 30 08 05 00 000 -207.00  -186.00
2003 10 30 08 06 00 000 -204.00  -145.00
2003 10 30 08 07 00 000 -203.00  -106.00
2003 10 30 08 08 00 000 -205.00  -110.00
2003 10 30 08 09 00 000 -207.00  -122.00
2003 10 30 08 10 00 000 -206.00  -118.00
2003 10 30 08 11 00 000 -201.00  -106.00
2003 10 30 08 12 00 000 -201.00  -104.00
2003 10 30 08 13 00 000 -203.00  -106.00
2003 10 30 08 14 00 000 -204.00   -94.00
2003 10 30 08 15 00 000 -204.00  -104.00
2003 10 30 08 16 00 000 -202.00   -98.00
2003 10 30 08 17 00 000 -201.00   -88.00
2003 10 30 08 18 00 000 -200.00   -89.00
2003 10 30 08 19 00 000 -201.00   -87.00
2003 10 30 08 20 00 000 -200.00   -86.00
2003 10 30 08 21 00 000 -198.00  -104.00
2003 10 30 08 22 00 000 -197.00  -119.00
2003 10 30 08 23 00 000 -197.00  -126.00
2003 10 30 08 24 00 000 -196.00  -145.00
2003 10 30 08 25 00 000 -193.00  -148.00
2003 10 30 08 26 00 000 -191.00  -148.00
2003 10 30 08 27 00 000 -191.00  -161.00
2003 10 30 08 28 00 000 -193.00  -191.00
2003 10 30 08 29 00 000 -194.00  -222.00
2003 10 30 08 30 00 000 -193.00  -242.00
2003 10 30 08 31 00 000 -192.00  -244.00
2003 10 30 08 32 00 000 -191.00  -239.00
2003 10 30 08 33 00 000 -191.00  -236.00
2003 10 30 08 34 00 000 -190.00  -237.00
2003 10 30 08 35 00 000 -189.00  -252.00
2003 10 30 08 36 00 000 -189.00  -264.00
2003 10 30 08 37 00 000 -189.00  -260.00
2003 10 30 08 38 00 000 -189.00  -246.00
2003 10 30 08 39 00 000 -189.00  -229.00
2003 10 30 08 40 00 000 -187.00  -216.00
2003 10 30 08 41 00 000 -187.00  -197.00
2003 10 30 08 42 00 000 -186.00  -173.00
2003 10 30 08 43 00 000 -186.00  -153.00
2003 10 30 08 44 00 000 -187.00  -155.00
2003 10 30 08 45 00 000 -187.00  -157.00
2003 10 30 08 46 00 000 -188.00  -151.00
2003 10 30 08 47 00 000 -187.00  -136.00
2003 10 30 08 48 00 000 -187.00  -118.00
2003 10 30 08 49 00 000 -187.00  -115.00
2003 10 30 08 50 00 000 -187.00  -115.00
2003 10 30 08 51 00 000 -188.00  -123.00
2003 10 30 08 52 00 000 -187.00  -129.00
2003 10 30 08 53 00 000 -186.00  -133.00
2003 10 30 08 54 00 000 -185.00  -136.00
2003 10 30 08 55 00 000 -185.00  -132.00
2003 10 30 08 56 00 000 -185.00  -115.00
2003 10 30 08 57 00 000 -185.00  -101.00
2003 10 30 08 58 00 000 -186.00   -96.00
2003 10 30 08 59 00 000 -186.00   -96.00
2003 10 30 09 00 00 000 -185.00   -92.00
2003 10 30 09 01 00 000 -184.00   -82.00
2003 10 30 09 02 00 000 -184.00   -79.00
2003 10 30 09 03 00 000 -184.00   -77.00
2003 10 30 09 04 00 000 -185.00   -78.00
2003 10 30 09 05 00 000 -186.00   -75.00
2003 10 30 09 06 00 000 -186.00   -70.00
2003 10 30 09 07 00 000 -186.00   -71.00
2003 10 30 09 08 00 000 -186.00   -82.00
2003 10 30 09 09 00 000 -186.00   -87.00
2003 10 30 09 10 00 000 -186.00   -87.00
2003 10 30 09 11 00 000 -185.00   -84.00
2003 10 30 09 12 00 000 -185.00   -79.00
2003 10 30 09 13 00 000 -184.00   -78.00
2003 10 30 09 14 00 000 -184.00   -78.00
2003 10 30 09 15 00 000 -184.00   -78.00
2003 10 30 09 16 00 000 -184.00   -76.00
2003 10 30 09 17 00 000 -184.00   -66.00
2003 10 30 09 18 00 000 -183.00   -59.00
2003 10 30 09 19 00 000 -181.00   -56.00
2003 10 30 09 20 00 000 -181.00   -65.00
2003 10 30 09 21 00 000 -181.00   -67.00
2003 10 30 09 22 00 000 -181.00   -62.00
2003 10 30 09 23 00 000 -180.00   -70.00
2003 10 30 09 24 00 000 -178.00   -68.00
2003 10 30 09 25 00 000 -176.00   -62.00
2003 10 30 09 26 00 000 -176.00   -66.00
2003 10 30 09 27 00 000 -177.00   -74.00
2003 10 30 09 28 00 000 -178.00   -75.00
2003 10 30 09 29 00 000 -178.00   -63.00
2003 10 30 09 30 00 000 -178.00   -61.00
2003 10 30 09 31 00 000 -178.00   -59.00
2003 10 30 09 32 00 000 -179.00   -63.00
2003 10 30 09 33 00 000 -179.00   -92.00
2003 10 30 09 34 00 000 -177.00   -97.00
2003 10 30 09 35 00 000 -176.00   -89.00
2003 10 30 09 36 00 000 -177.00   -83.00
2003 10 30 09 37 00 000 -178.00   -83.00
2003 10 30 09 38 00 000 -178.00   -80.00
2003 10 30 09 39 00 000 -177.00   -84.00
2003 10 30 09 40 00 000 -176.00   -93.00
2003 10 30 09 41 00 000 -175.00   -88.00
2003 10 30 09 42 00 000 -174.00   -86.00
2003 10 30 09 43 00 000 -175.00  -105.00
2003 10 30 09 44 00 000 -175.00  -114.00
2003 10 30 09 45 00 000 -176.00  -122.00
2003 10 30 09 46 00 000 -175.00  -132.00
2003 10 30 09 47 00 000 -175.00  -137.00
2003 10 30 09 48 00 000 -175.00  -137.00
2003 10 30 09 49 00 000 -174.00  -138.00
2003 10 30 09 50 00 000 -174.00  -146.00
2003 10 30 09 51 00 000 -174.00  -152.00
2003 10 30 09 52 00 000 -174.00  -154.00
2003 10 30 09 53 00 000 -174.00  -153.00
2003 10 30 09 54 00 000 -174.00  -155.00
2003 10 30 09 55 00 000 -174.00  -160.00
2003 10 30 09 56 00 000 -174.00  -158.00
2003 10 30 09 57 00 000 -173.00  -152.00
2003 10 30 09 58 00 000 -174.00  -151.00
2003 10 30 09 59 00 000 -174.00  -153.00
2003 10 30 10 00 00 000 -174.00  -152.00
2003 10 30 10 01 00 000 -174.00  -152.00
2003 10 30 10 02 00 000 -174.00  -156.00
2003 10 30 10 03 00 000 -174.00  -158.00
2003 10 30 10 04 00 000 -174.00  -159.00
2003 10 30 10 05 00 000 -174.00  -161.00
2003 10 30 10 06 00 000 -174.00  -161.00
2003 10 30 10 07 00 000 -173.00  -161.00
2003 10 30 10 08 00 000 -173.00  -161.00
2003 10 30 10 09 00 000 -173.00  -158.00
2003 10 30 10 10 00 000 -173.00  -157.00
2003 10 30 10 11 00 000 -172.00  -150.00
2003 10 30 10 12 00 000 -172.00  -139.00
2003 10 30 10 13 00 000 -171.00  -128.00
2003 10 30 10 14 00 000 -171.00  -121.00
2003 10 30 10 15 00 000 -171.00  -118.00
2003 10 30 10 16 00 000 -170.00  -125.00
2003 10 30 10 17 00 000 -171.00  -154.00
2003 10 30 10 18 00 000 -171.00  -171.00
2003 10 30 10 19 00 000 -170.00  -164.00
2003 10 30 10 20 00 000 -169.00  -151.00
2003 10 30 10 21 00 000 -170.00  -157.00
2003 10 30 10 22 00 000 -169.00  -167.00
2003 10 30 10 23 00 000 -169.00  -153.00
2003 10 30 10 24 00 000 -168.00  -155.00
2003 10 30 10 25 00 000 -169.00  -180.00
2003 10 30 10 26 00 000 -168.00  -150.00
2003 10 30 10 27 00 000 -166.00  -178.00
2003 10 30 10 28 00 000 -165.00  -238.00
2003 10 30 10 29 00 000 -162.00  -332.00
2003 10 30 10 30 00 000 -160.00  -399.00
2003 10 30 10 31 00 000 -155.00  -438.00
2003 10 30 10 32 00 000 -148.00  -374.00
2003 10 30 10 33 00 000 -150.00  -413.00
2003 10 30 10 34 00 000 -155.00  -485.00
2003 10 30 10 35 00 000 -158.00  -505.00
2003 10 30 10 36 00 000 -159.00  -585.00
2003 10 30 10 37 00 000 -159.00  -678.00
2003 10 30 10 38 00 000 -159.00  -657.00
2003 10 30 10 39 00 000 -159.00  -622.00
2003 10 30 10 40 00 000 -161.00  -591.00
2003 10 30 10 41 00 000 -160.00  -566.00
2003 10 30 10 42 00 000 -159.00  -516.00
2003 10 30 10 43 00 000 -159.00  -483.00
2003 10 30 10 44 00 000 -159.00  -444.00
2003 10 30 10 45 00 000 -161.00  -420.00
2003 10 30 10 46 00 000 -160.00  -471.00
2003 10 30 10 47 00 000 -156.00  -453.00
2003 10 30 10 48 00 000 -153.00  -363.00
2003 10 30 10 49 00 000 -154.00  -419.00
2003 10 30 10 50 00 000 -155.00  -781.00
2003 10 30 10 51 00 000 -157.00  -906.00
2003 10 30 10 52 00 000 -159.00  -795.00
2003 10 30 10 53 00 000 -159.00  -733.00
2003 10 30 10 54 00 000 -160.00  -543.00
2003 10 30 10 55 00 000 -160.00  -397.00
2003 10 30 10 56 00 000 -158.00  -336.00
2003 10 30 10 57 00 000 -159.00  -317.00
2003 10 30 10 58 00 000 -161.00  -399.00
2003 10 30 10 59 00 000 -162.00  -342.00
2003 10 30 11 00 00 000 -160.00  -335.00
2003 10 30 11 01 00 000 -158.00  -310.00
2003 10 30 11 02 00 000 -156.00  -305.00
2003 10 30 11 03 00 000 -156.00  -310.00
2003 10 30 11 04 00 000 -157.00  -297.00
2003 10 30 11 05 00 000 -157.00  -301.00
2003 10 30 11 06 00 000 -155.00  -294.00
2003 10 30 11 07 00 000 -155.00  -300.00
2003 10 30 11 08 00 000 -155.00  -300.00
2003 10 30 11 09 00 000 -152.00  -278.00
2003 10 30 11 10 00 000 -153.00  -268.00
2003 10 30 11 11 00 000 -154.00  -288.00
2003 10 30 11 12 00 000 -154.00  -304.00
2003 10 30 11 13 00 000 -154.00  -307.00
2003 10 30 11 14 00 000 -154.00  -306.00
2003 10 30 11 15 00 000 -155.00  -301.00
2003 10 30 11 16 00 000 -155.00  -293.00
2003 10 30 11 17 00 000 -154.00  -301.00
2003 10 30 11 18 00 000 -153.00  -317.00
2003 10 30 11 19 00 000 -155.00  -335.00
2003 10 30 11 20 00 000 -156.00  -333.00
2003 10 30 11 21 00 000 -157.00  -294.00
2003 10 30 11 22 00 000 -155.00  -267.00
2003 10 30 11 23 00 000 -155.00  -265.00
2003 10 30 11 24 00 000 -155.00  -301.00
2003 10 30 11 25 00 000 -156.00  -321.00
2003 10 30 11 26 00 000 -155.00  -333.00
2003 10 30 11 27 00 000 -153.00  -354.00
2003 10 30 11 28 00 000 -152.00  -371.00
2003 10 30 11 29 00 000 -153.00  -374.00
2003 10 30 11 30 00 000 -153.00  -381.00
2003 10 30 11 31 00 000 -153.00  -349.00
2003 10 30 11 32 00 000 -152.00  -289.00
2003 10 30 11 33 00 000 -152.00  -258.00
2003 10 30 11 34 00 000 -151.00  -262.00
2003 10 30 11 35 00 000 -151.00  -282.00
2003 10 30 11 36 00 000 -152.00  -321.00
2003 10 30 11 37 00 000 -151.00  -320.00
2003 10 30 11 38 00 000 -150.00  -308.00
2003 10 30 11 39 00 000 -150.00  -346.00
2003 10 30 11 40 00 000 -149.00  -362.00
2003 10 30 11 41 00 000 -148.00  -384.00
2003 10 30 11 42 00 000 -149.00  -411.00
2003 10 30 11 43 00 000 -149.00  -391.00
2003 10 30 11 44 00 000 -146.00  -355.00
2003 10 30 11 45 00 000 -144.00  -333.00
2003 10 30 11 46 00 000 -144.00  -339.00
2003 10 30 11 47 00 000 -147.00  -364.00
2003 10 30 11 48 00 000 -149.00  -365.00
2003 10 30 11 49 00 000 -148.00  -321.00
2003 10 30 11 50 00 000 -148.00  -276.00
2003 10 30 11 51 00 000 -146.00  -294.00
2003 10 30 11 52 00 000 -145.00  -368.00
2003 10 30 11 53 00 000 -147.00  -310.00
2003 10 30 11 54 00 000 -147.00  -276.00
2003 10 30 11 55 00 000 -148.00  -275.00
2003 10 30 11 56 00 000 -146.00  -275.00
2003 10 30 11 57 00 000 -147.00  -323.00
2003 10 30 11 58 00 000 -147.00  -327.00
2003 10 30 11 59 00 000 -147.00  -313.00
2003 10 30 12 00 00 000 -147.00  -314.00
2003 10 30 12 01 00 000 -143.00  -302.00
2003 10 30 12 02 00 000 -142.00  -271.00
2003 10 30 12 03 00 000 -146.00  -289.00
2003 10 30 12 04 00 000 -150.00  -288.00
2003 10 30 12 05 00 000 -151.00  -296.00
2003 10 30 12 06 00 000 -149.00  -290.00
2003 10 30 12 07 00 000 -147.00  -283.00
2003 10 30 12 08 00 000 -145.00  -332.00
2003 10 30 12 09 00 000 -147.00  -257.00
2003 10 30 12 10 00 000 -150.00  -219.00
2003 10 30 12 11 00 000 -152.00  -257.00
2003 10 30 12 12 00 000 -151.00  -239.00
2003 10 30 12 13 00 000 -152.00  -218.00
2003 10 30 12 14 00 000 -154.00  -192.00
2003 10 30 12 15 00 000 -154.00  -182.00
2003 10 30 12 16 00 000 -155.00  -193.00
2003 10 30 12 17 00 000 -157.00  -210.00
2003 10 30 12 18 00 000 -156.00  -255.00
2003 10 30 12 19 00 000 -154.00  -299.00
2003 10 30 12 20 00 000 -152.00  -288.00
2003 10 30 12 21 00 000 -151.00  -201.00
2003 10 30 12 22 00 000 -152.00  -216.00
2003 10 30 12 23 00 000 -154.00  -248.00
2003 10 30 12 24 00 000 -156.00  -271.00
2003 10 30 12 25 00 000 -155.00  -262.00
2003 10 30 12 26 00 000 -154.00  -240.00
2003 10 30 12 27 00 000 -152.00  -271.00
2003 10 30 12 28 00 000 -151.00  -317.00
2003 10 30 12 29 00 000 -152.00  -298.00
2003 10 30 12 30 00 000 -152.00  -280.00
2003 10 30 12 31 00 000 -152.00  -325.00
2003 10 30 12 32 00 000 -152.00  -377.00
2003 10 30 12 33 00 000 -152.00  -369.00
2003 10 30 12 34 00 000 -151.00  -359.00
2003 10 30 12 35 00 000 -153.00  -394.00
2003 10 30 12 36 00 000 -152.00  -392.00
2003 10 30 12 37 00 000 -152.00  -374.00
2003 10 30 12 38 00 000 -152.00  -376.00
2003 10 30 12 39 00 000 -151.00  -383.00
2003 10 30 12 40 00 000 -150.00  -390.00
2003 10 30 12 41 00 000 -150.00  -403.00
2003 10 30 12 42 00 000 -152.00  -426.00
2003 10 30 12 43 00 000 -152.00  -447.00
2003 10 30 12 44 00 000 -152.00  -467.00
2003 10 30 12 45 00 000 -152.00  -494.00
2003 10 30 12 46 00 000 -151.00  -514.00
2003 10 30 12 47 00 000 -151.00  -568.00
2003 10 30 12 48 00 000 -152.00  -646.00
2003 10 30 12 49 00 000 -152.00  -801.00
2003 10 30 12 50 00 000 -152.00  -857.00
2003 10 30 12 51 00 000 -151.00  -842.00
2003 10 30 12 52 00 000 -148.00  -866.00
2003 10 30 12 53 00 000 -146.00  -837.00
2003 10 30 12 54 00 000 -145.00  -867.00
2003 10 30 12 55 00 000 -147.00  -859.00
2003 10 30 12 56 00 000 -146.00  -832.00
