Sym-H and AL  obtained from Kyoto WDC for SWPC Event 1.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2003 10 29 06 04 00 000  -34.00  -372.00
2003 10 29 06 05 00 000  -33.00  -373.00
2003 10 29 06 06 00 000  -33.00  -371.00
2003 10 29 06 07 00 000  -31.00  -353.00
2003 10 29 06 08 00 000  -31.00  -362.00
2003 10 29 06 09 00 000  -32.00  -463.00
2003 10 29 06 10 00 000  -31.00  -461.00
2003 10 29 06 11 00 000  -18.00  -411.00
2003 10 29 06 12 00 000   41.00  -500.00
2003 10 29 06 13 00 000   44.00  -970.00
2003 10 29 06 14 00 000   49.00 -1353.00
2003 10 29 06 15 00 000   38.00 -2242.00
2003 10 29 06 16 00 000   37.00 -2703.00
2003 10 29 06 17 00 000   32.00 -2718.00
2003 10 29 06 18 00 000   30.00 -2966.00
2003 10 29 06 19 00 000   29.00 -2386.00
2003 10 29 06 20 00 000   24.00 -2220.00
2003 10 29 06 21 00 000   21.00 -2137.00
2003 10 29 06 22 00 000   21.00 -2127.00
2003 10 29 06 23 00 000   21.00 -2018.00
2003 10 29 06 24 00 000   19.00 -1780.00
2003 10 29 06 25 00 000   21.00 -1900.00
2003 10 29 06 26 00 000   18.00 -2047.00
2003 10 29 06 27 00 000   16.00 -1673.00
2003 10 29 06 28 00 000   13.00 -1620.00
2003 10 29 06 29 00 000    4.00 -1651.00
2003 10 29 06 30 00 000    3.00 -1789.00
2003 10 29 06 31 00 000   22.00 -1831.00
2003 10 29 06 32 00 000   -1.00 -2013.00
2003 10 29 06 33 00 000    2.00 -2114.00
2003 10 29 06 34 00 000    4.00 -2253.00
2003 10 29 06 35 00 000    3.00 -2214.00
2003 10 29 06 36 00 000   -1.00 -2239.00
2003 10 29 06 37 00 000    1.00 -2298.00
2003 10 29 06 38 00 000    2.00 -2352.00
2003 10 29 06 39 00 000   -7.00 -2636.00
2003 10 29 06 40 00 000  -10.00 -2455.00
2003 10 29 06 41 00 000  -13.00 -2329.00
2003 10 29 06 42 00 000  -16.00 -2063.00
2003 10 29 06 43 00 000  -13.00 -2227.00
